"study","varname","dataset","concept","description","description_long","boost"

#### 2006
* SOEPcore: {{/soep-core/data/wp/wp2108}}

#### 2007
* SOEPcore: {{/soep-core/data/xp/xp3208}}
",0.7
"soep-long","plb0357","pl","pvergl9","The variable is available for 24 years, ranging from 1985 to 2009.","#### 1985
* SOEPcore: {{/soep-core/data/bp/bp28g}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp28g}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp26g}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep26g}}

#### 1989
* SOEPcore: {{/soep-core/data/fp/fp24g}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp27g}}

#### 1991
* SOEPcore: {{/soep-core/data/hp/hp29g}}

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip29g}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp29g}}

#### 1994
* SOEPcore: {{/soep-core/data/kp/kp41}}

#### 1995
* SOEPcore: {{/soep-core/data/lp/lp33}}

#### 1996
* SOEPcore: {{/soep-core/data/mp/mp31}}

#### 1997
* SOEPcore: {{/soep-core/data/np/np25}}

#### 1998
* SOEPcore: {{/soep-core/data/op/op25}}

#### 1999
* SOEPcore: {{/soep-core/data/pp/pp26}}

#### 2000
* SOEPcore: {{/soep-core/data/qp/qp24}}

#### 2001
* SOEPcore: {{/soep-core/data/rp/rp27}}

#### 2002
* SOEPcore: {{/soep-core/data/sp/sp27}}

#### 2003
* SOEPcore: {{/soep-core/data/tp/tp51}}

#### 2004
* SOEPcore: {{/soep-core/data/up/up22}}

#### 2005
* SOEPcore: {{/soep-core/data/vp/vp27}}

#### 2006
* SOEPcore: {{/soep-core/data/wp/wp20}}

#### 2007
* SOEPcore: {{/soep-core/data/xp/xp31}}

#### 2009
* SOEPcore: {{/soep-core/data/zp/zp25}}
",0.73
"soep-long","plb0358","pl","psuch2","The variable is available for 32 years, ranging from 1985 to 2016. To harmonize this variable over time 19 replace or recode commands were necessary.","#### 1985
* Var with original data within SOEPlong: pcb0044 plb0364 plb0365 plb0367 plb0359 plb0360
 * Replace:   REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 9 if plb0367==1  ,  REP 11 if plb0359==1  ,  REP 12 if plb0360==1
* SOEPcore: bp29g01 bp29g02 bp29g03 bp29g06 bp29g04 bp29g05

#### 1986
* Var with original data within SOEPlong: pcb0044 plb0364 plb0365 plb0367 plb0359 plb0360
 * Replace:   REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 9 if plb0367==1  ,  REP 11 if plb0359==1  ,  REP 12 if plb0360==1
* SOEPcore: cp29g01 cp29g02 cp29g03 cp29g06 cp29g04 cp29g05

#### 1987
* Var with original data within SOEPlong: pcb0044 plb0364 plb0365 plb0367 plb0359 plb0360
 * Replace:   REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 9 if plb0367==1  ,  REP 11 if plb0359==1  ,  REP 12 if plb0360==1
* SOEPcore: dp27g01 dp27g02 dp27g03 dp27g06 dp27g04 dp27g05

#### 1988
* Var with original data within SOEPlong: pcb0044 plb0364 plb0365 plb0367 plb0359 plb0360
 * Replace:   REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 9 if plb0367==1  ,  REP 11 if plb0359==1  ,  REP 12 if plb0360==1
* SOEPcore: ep27g01 ep27g02 ep27g03 ep27g06 ep27g04 ep27g05

#### 1989
* Var with original data within SOEPlong: pcb0044 plb0364 plb0365 plb0366 plb0367 plb0361
 * Replace:   REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 8 if plb0366==1  ,  REP 9 if plb0367==1  ,  REP 10 if plb0361==1
* SOEPcore: fp26g01 fp26g02 fp26g03 fp26g04 fp26g06 fp26g05

#### 1990
* Var with original data within SOEPlong: pcb0044 plb0364 plb0365 plb0366 plb0367 plb0361
 * Replace:   REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 8 if plb0366==1  ,  REP 9 if plb0367==1  ,  REP 10 if plb0361==1
* SOEPcore: gp29g01 gp29g02 gp29g03 gp29g04 gp29g06 gp29g05

#### 1991
* Var with original data within SOEPlong: pcb0044 plb0364 plb0365 plb0366 plb0367 plb0361
 * Replace:   REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 8 if plb0366==1  ,  REP 9 if plb0367==1  ,  REP 10 if plb0361==1
* SOEPcore: hp31g01 hp31g02 hp31g03 hp31g04 hp31g06 hp31g05

#### 1992
* Var with original data within SOEPlong: pcb0044 plb0364 plb0365 plb0366 plb0367 plb0361
 * Replace:   REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 8 if plb0366==1  ,  REP 9 if plb0367==1  ,  REP 10 if plb0361==1
* SOEPcore: ip31g01 ip31g02 ip31g03 ip31g04 ip31g06 ip31g05

#### 1993
* Var with original data within SOEPlong: pcb0044 plb0364 plb0365 plb0366 plb0367 plb0361
 * Replace:   REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 8 if plb0366==1  ,  REP 9 if plb0367==1  ,  REP 10 if plb0361==1
* SOEPcore: jp31g01 jp31g02 jp31g03 jp31g04 jp31g06 jp31g05

#### 1994
* Var with original data within SOEPlong: pcb0044 plb0364 plb0365 plb0366 plb0367 plb0361
 * Replace:   REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 8 if plb0366==1  ,  REP 9 if plb0367==1  ,  REP 10 if plb0361==1
* SOEPcore: kp4301 kp4302 kp4303 kp4304 kp4306 kp4305

#### 1995
* Var with original data within SOEPlong: pcb0044 plb0363 plb0364 plb0365 plb0366 plb0367 plb0361
 * Replace:   REP 4 if plb0363==1  ,  REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 8 if plb0366==1  ,  REP 9 if plb0367==1  ,  REP 10 if plb0361==1
* SOEPcore: lp3501 lp3502 lp3503 lp3504 lp3505 lp3507 lp3506

#### 1996
* Var with original data within SOEPlong: pcb0044 plb0363 plb0364 plb0365 plb0366 plb0367 plb0361
 * Replace:   REP 4 if plb0363==1  ,  REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 8 if plb0366==1  ,  REP 9 if plb0367==1  ,  REP 10 if plb0361==1
* SOEPcore: mp3301 mp3302 mp3303 mp3304 mp3305 mp3307 mp3306

#### 1997
* Var with original data within SOEPlong: pcb0044 plb0363 plb0364 plb0365 plb0366 plb0367 plb0361
 * Replace:   REP 4 if plb0363==1  ,  REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 8 if plb0366==1  ,  REP 9 if plb0367==1  ,  REP 10 if plb0361==1
* SOEPcore: np2701 np2702 np2703 np2704 np2705 np2707 np2706

#### 1998
* Var with original data within SOEPlong: pcb0044 plb0363 plb0364 plb0365 plb0366 plb0367 plb0361
 * Replace:   REP 4 if plb0363==1  ,  REP 5 if plb0364==1  ,  REP 7 if plb0365==1  ,  REP 8 if plb0366==1  ,  REP 9 if plb0367==1  ,  REP 10 if plb0361==1
* SOEPcore: op2701 op2702 op2703 op2704 op2705 op2707 op2706

#### 1999
* Var with original data within SOEPlong: pcb0043
 * Recode:   REC (2=4) (3=5) (4=6) (5=7) (6=8) (7=9) 
* SOEPcore: {{/soep-core/data/pp/pp28}}

#### 2000
* Var with original data within SOEPlong: pcb0043
 * Recode:   REC (2=4) (3=5) (4=6) (5=7) (6=8) (7=9) 
* SOEPcore: {{/soep-core/data/qp/qp26}}

#### 2001
* Var with original data within SOEPlong: pcb0043
 * Recode:   REC (2=4) (3=5) (4=6) (5=7) (6=8) (7=9) 
* SOEPcore: {{/soep-core/data/rp/rp29}}

#### 2002
* Var with original data within SOEPlong: pcb0043
 * Recode:   REC (2=4) (3=5) (4=6) (5=7) (6=8) (7=9) 
* SOEPcore: {{/soep-core/data/sp/sp29}}

#### 2003
* SOEPcore: {{/soep-core/data/tp/tp54}}

#### 2004
* SOEPcore: {{/soep-core/data/up/up25}}

#### 2005
* SOEPcore: {{/soep-core/data/vp/vp30}}

#### 2006
* SOEPcore: {{/soep-core/data/wp/wp23}}

#### 2007
* SOEPcore: {{/soep-core/data/xp/xp34}}

#### 2008
* SOEPcore: {{/soep-core/data/yp/yp33}}

#### 2009
* SOEPcore: {{/soep-core/data/zp/zp27}}

#### 2010
* SOEPcore: {{/soep-core/data/bap/bap25}}

#### 2011
* SOEPcore: {{/soep-core/data/bbp/bbp26}}

#### 2012
* SOEPcore: {{/soep-core/data/bcp/bcp26}}

#### 2013
* SOEPcore: {{/soep-core/data/bdp/bdp36}}

#### 2014
* Var with original data within SOEPlong: pcb0068
 * Recode:   REC (10=15) (11=13) (12=14) 
* SOEPcore: {{/soep-core/data/bep/bep26}}

#### 2015
* SOEPcore: {{/soep-core/data/bfp/bfp51}}

#### 2016
* SOEPcore: {{/soep-core/data/bgp/bgp47}}
",0.97
"soep-long","plb0359","pl","_1522_p_tjs","The variable is available for 4 years, ranging from 1985 to 1988.","#### 1985
* SOEPcore: {{/soep-core/data/bp/bp29g04}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp29g04}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp27g04}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep27g04}}
",0.12
"soep-long","plb0360","pl","_1523_p_tjs","The variable is available for 4 years, ranging from 1985 to 1988.","#### 1985
* SOEPcore: {{/soep-core/data/bp/bp29g05}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp29g05}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp27g05}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep27g05}}
",0.12
"soep-long","plb0361","pl","_227_p_tjs","The variable is available for 10 years, ranging from 1989 to 1998.","#### 1989
* SOEPcore: {{/soep-core/data/fp/fp26g05}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp29g05}}

#### 1991
* SOEPcore: {{/soep-core/data/hp/hp31g05}}

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip31g05}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp31g05}}

#### 1994
* SOEPcore: {{/soep-core/data/kp/kp4305}}

#### 1995
* SOEPcore: {{/soep-core/data/lp/lp3506}}

#### 1996
* SOEPcore: {{/soep-core/data/mp/mp3306}}

#### 1997
* SOEPcore: {{/soep-core/data/np/np2706}}

#### 1998
* SOEPcore: {{/soep-core/data/op/op2706}}
",0.3
"soep-long","plb0362","pl","psuch1","The variable is available for 28 years, ranging from 1989 to 2016.","#### 1989
* SOEPcore: {{/soep-core/data/fp/fp25g}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp28g}}

#### 1991
* SOEPcore: {{/soep-core/data/hp/hp30g}}

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip30g}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp30g}}

#### 1994
* SOEPcore: {{/soep-core/data/kp/kp42}}

#### 1995
* SOEPcore: {{/soep-core/data/lp/lp34}}

#### 1996
* SOEPcore: {{/soep-core/data/mp/mp32}}

#### 1997
* SOEPcore: {{/soep-core/data/np/np26}}

#### 1998
* SOEPcore: {{/soep-core/data/op/op26}}

#### 1999
* SOEPcore: {{/soep-core/data/pp/pp27}}

#### 2000
* SOEPcore: {{/soep-core/data/qp/qp25}}

#### 2001
* SOEPcore: {{/soep-core/data/rp/rp28}}

#### 2002
* SOEPcore: {{/soep-core/data/sp/sp28}}

#### 2003
* SOEPcore: {{/soep-core/data/tp/tp53}}

#### 2004
* SOEPcore: {{/soep-core/data/up/up24}}

#### 2005
* SOEPcore: {{/soep-core/data/vp/vp29}}

#### 2006
* SOEPcore: {{/soep-core/data/wp/wp22}}

#### 2007
* SOEPcore: {{/soep-core/data/xp/xp33}}

#### 2008
* SOEPcore: {{/soep-core/data/yp/yp32}}

#### 2009
* SOEPcore: {{/soep-core/data/zp/zp26}}

#### 2010
* SOEPcore: {{/soep-core/data/bap/bap24}}

#### 2011
* SOEPcore: {{/soep-core/data/bbp/bbp25}}

#### 2012
* SOEPcore: {{/soep-core/data/bcp/bcp25}}

#### 2013
* SOEPcore: {{/soep-core/data/bdp/bdp35}}

#### 2014
* SOEPcore: {{/soep-core/data/bep/bep25}}

#### 2015
* SOEPcore: {{/soep-core/data/bfp/bfp50}}

#### 2016
* SOEPcore: {{/soep-core/data/bgp/bgp46}}
",0.85
"soep-long","plb0363","pl","psuch2","The variable is available for 4 years, ranging from 1995 to 1998.","#### 1995
* SOEPcore: {{/soep-core/data/lp/lp3502}}

#### 1996
* SOEPcore: {{/soep-core/data/mp/mp3302}}

#### 1997
* SOEPcore: {{/soep-core/data/np/np2702}}

#### 1998
* SOEPcore: {{/soep-core/data/op/op2702}}
",0.12
"soep-long","plb0364","pl","psuch2","The variable is available for 14 years, ranging from 1985 to 1998.","#### 1985
* SOEPcore: {{/soep-core/data/bp/bp29g02}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp29g02}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp27g02}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep27g02}}

#### 1989
* SOEPcore: {{/soep-core/data/fp/fp26g02}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp29g02}}

#### 1991
* SOEPcore: {{/soep-core/data/hp/hp31g02}}

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip31g02}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp31g02}}

#### 1994
* SOEPcore: {{/soep-core/data/kp/kp4302}}

#### 1995
* SOEPcore: {{/soep-core/data/lp/lp3503}}

#### 1996
* SOEPcore: {{/soep-core/data/mp/mp3303}}

#### 1997
* SOEPcore: {{/soep-core/data/np/np2703}}

#### 1998
* SOEPcore: {{/soep-core/data/op/op2703}}
",0.42
"soep-long","plb0365","pl","psuch2","The variable is available for 14 years, ranging from 1985 to 1998.","#### 1985
* SOEPcore: {{/soep-core/data/bp/bp29g03}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp29g03}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp27g03}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep27g03}}

#### 1989
* SOEPcore: {{/soep-core/data/fp/fp26g03}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp29g03}}

#### 1991
* SOEPcore: {{/soep-core/data/hp/hp31g03}}

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip31g03}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp31g03}}

#### 1994
* SOEPcore: {{/soep-core/data/kp/kp4303}}

#### 1995
* SOEPcore: {{/soep-core/data/lp/lp3504}}

#### 1996
* SOEPcore: {{/soep-core/data/mp/mp3304}}

#### 1997
* SOEPcore: {{/soep-core/data/np/np2704}}

#### 1998
* SOEPcore: {{/soep-core/data/op/op2704}}
",0.42
"soep-long","plb0366","pl","psuch2","The variable is available for 10 years, ranging from 1989 to 1998.","#### 1989
* SOEPcore: {{/soep-core/data/fp/fp26g04}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp29g04}}

#### 1991
* SOEPcore: {{/soep-core/data/hp/hp31g04}}

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip31g04}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp31g04}}

#### 1994
* SOEPcore: {{/soep-core/data/kp/kp4304}}

#### 1995
* SOEPcore: {{/soep-core/data/lp/lp3505}}

#### 1996
* SOEPcore: {{/soep-core/data/mp/mp3305}}

#### 1997
* SOEPcore: {{/soep-core/data/np/np2705}}

#### 1998
* SOEPcore: {{/soep-core/data/op/op2705}}
",0.3
"soep-long","plb0367","pl","psuch2","The variable is available for 14 years, ranging from 1985 to 1998.","#### 1985
* SOEPcore: {{/soep-core/data/bp/bp29g06}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp29g06}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp27g06}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep27g06}}

#### 1989
* SOEPcore: {{/soep-core/data/fp/fp26g06}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp29g06}}

#### 1991
* SOEPcore: {{/soep-core/data/hp/hp31g06}}

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip31g06}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp31g06}}

#### 1994
* SOEPcore: {{/soep-core/data/kp/kp4306}}

#### 1995
* SOEPcore: {{/soep-core/data/lp/lp3507}}

#### 1996
* SOEPcore: {{/soep-core/data/mp/mp3307}}

#### 1997
* SOEPcore: {{/soep-core/data/np/np2707}}

#### 1998
* SOEPcore: {{/soep-core/data/op/op2707}}
",0.42
"soep-long","plb0368","pl","_1674_p_jcl","This variable is only available for the year 1984.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap15}}
",0.03
"soep-long","plb0369","pl","_1675_p_jcl","This variable is only available for the year 1984.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap1701}}
",0.03
"soep-long","plb0370","pl","_1676_p_jcl","This variable is only available for the year 1984.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap1702}}
",0.03
"soep-long","plb0371","pl","_1677_p_jcl","This variable is only available for the year 1984.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap1703}}
",0.03
"soep-long","plb0372","pl","_1678_p_jcl","This variable is only available for the year 1984.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap1704}}
",0.03
"soep-long","plb0373","pl","_1679_p_jcl","This variable is only available for the year 1984.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap1705}}
",0.03
"soep-long","plb0374","pl","_1680_p_jcl","This variable is only available for the year 1984.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap1706}}
",0.03
"soep-long","plb0375","pl","_1045_p_jcl","The variable is available for 10 years, ranging from 1984 to 1993.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap11}}

#### 1985
* SOEPcore: {{/soep-core/data/bp/bp22b}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp22b}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp20b}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep20b}}

#### 1989
* SOEPcore: {{/soep-core/data/fp/fp18b}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp21b}}

#### 1991
* SOEPcore: {{/soep-core/data/hp/hp23b}}

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip23b}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp23b}}
",0.3
"soep-long","plb0376","pl","_1046_p_jcl","The variable is available for 10 years, ranging from 1984 to 1993.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap1401}}

#### 1985
* SOEPcore: {{/soep-core/data/bp/bp23b}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp23b}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp21b}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep21b}}

#### 1989
* SOEPcore: {{/soep-core/data/fp/fp19b}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp22b}}

#### 1991
* SOEPcore: {{/soep-core/data/hp/hp24b}}

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip24b}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp24b}}
",0.3
"soep-long","plb0377","pl","_1047_p_jcl","The variable is available for 10 years, ranging from 1984 to 1993.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap1601}}

#### 1985
* SOEPcore: {{/soep-core/data/bp/bp24b01}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp24b01}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp22b01}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep22b01}}

#### 1989
* SOEPcore: {{/soep-core/data/fp/fp20b01}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp23b01}}

#### 1991
* SOEPcore: hp25o02 hp25b01 

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip25b01}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp25b01}}
",0.3
"soep-long","plb0378","pl","_1048_p_jcl","The variable is available for 10 years, ranging from 1984 to 1993.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap1602}}

#### 1985
* SOEPcore: {{/soep-core/data/bp/bp24b02}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp24b02}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp22b02}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep22b02}}

#### 1989
* SOEPcore: {{/soep-core/data/fp/fp20b02}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp23b02}}

#### 1991
* SOEPcore: hp25o05 hp25b02 

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip25b02}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp25b02}}
",0.3
"soep-long","plb0379","pl","_1049_p_jcl","The variable is available for 10 years, ranging from 1984 to 1993.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap1603}}

#### 1985
* SOEPcore: {{/soep-core/data/bp/bp24b03}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp24b03}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp22b03}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep22b03}}

#### 1989
* SOEPcore: {{/soep-core/data/fp/fp20b03}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp23b03}}

#### 1991
* SOEPcore: hp25o03 hp25b03 

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip25b03}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp25b03}}
",0.3
"soep-long","plb0380","pl","_1050_p_jcl","The variable is available for 10 years, ranging from 1984 to 1993. To harmonize this variable over time 8 replace or recode commands were necessary.","#### 1984
* Var with original data within SOEPlong: pcb0045
 * Recode:   REC (2=7) (3=4) (4=5) (5=6) 
* SOEPcore: {{/soep-core/data/ap/ap1604}}

#### 1985
* Var with original data within SOEPlong: pcb0045
 * Recode:   REC (2=7) (3=4) (4=5) (5=6) 
* SOEPcore: {{/soep-core/data/bp/bp24b04}}

#### 1986
* Var with original data within SOEPlong: pcb0045
 * Recode:   REC (2=7) (3=4) (4=5) (5=6) 
* SOEPcore: {{/soep-core/data/cp/cp24b04}}

#### 1987
* Var with original data within SOEPlong: pcb0045
 * Recode:   REC (2=7) (3=4) (4=5) (5=6) 
* SOEPcore: {{/soep-core/data/dp/dp22b04}}

#### 1988
* Var with original data within SOEPlong: pcb0045
 * Recode:   REC (2=7) (3=4) (4=5) (5=6) 
* SOEPcore: {{/soep-core/data/ep/ep22b04}}

#### 1989
* Var with original data within SOEPlong: pcb0045
 * Recode:   REC (2=7) (3=4) (4=5) (5=6) 
* SOEPcore: {{/soep-core/data/fp/fp20b04}}

#### 1990
* Var with original data within SOEPlong: pcb0045
 * Recode:   REC (2=7) (3=4) (4=5) (5=6) 
* SOEPcore: {{/soep-core/data/gp/gp23b04}}

#### 1991
* Var with original data within SOEPlong: pcb0045
 * Recode:   REC (2=7) (3=4) (4=5) (5=6) if fpop==3
* SOEPcore: hp25o04 hp25b04 

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip25b04}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp25b04}}
",0.3
"soep-long","plb0381","pl","_1051_p_jcl","The variable is available for 7 years, ranging from 1984 to 1993.","#### 1984
* SOEPcore: {{/soep-core/data/ap/ap1605}}

#### 1985
* SOEPcore: {{/soep-core/data/bp/bp24b05}}

#### 1986
* SOEPcore: {{/soep-core/data/cp/cp24b05}}

#### 1987
* SOEPcore: {{/soep-core/data/dp/dp22b05}}

#### 1988
* SOEPcore: {{/soep-core/data/ep/ep22b05}}

#### 1989
* SOEPcore: {{/soep-core/data/fp/fp20b05}}

#### 1990
* SOEPcore: {{/soep-core/data/gp/gp23b05}}

#### 1991
* SOEPcore: {{/soep-core/data/hp/hp25b05}}

#### 1992
* SOEPcore: {{/soep-core/data/ip/ip25b05}}

#### 1993
* SOEPcore: {{/soep-core/data/jp/jp25b05}}
",0.21
"soep-long","plb0382","pl","pjob04","The variable is available for 10 years, ranging from 1998 to 2007. To harmonize this variable over time 1 replace or recode commands were necessary.","#### 1998
* Var with original data within SOEPlong: pcb0046
 * Recode:   REC (2 3 4 = -2) 
* SOEPcore: {{/soep-core/data/op/op47b}}

#### 1999
* SOEPcore: {{/soep-core/data/pp/pp6301}}

#### 2000
* SOEPcore: {{/soep-core/data/qp/qp5901}}

#### 2001
* SOEPcore: {{/soep-core/data/rp/rp6101}}

#### 2002
* SOEPcore: {{/soep-core/data/sp/sp6101}}

#### 2003
* SOEPcore: {{/soep-core/data/tp/tp7901}}

#### 2004
* SOEPcore: {{/soep-core/data/up/up6201}}

#### 2005
* SOEPcore: {{/soep-core/data/vp/vp7401}}

#### 2006
* SOEPcore: {{/soep-core/data/wp/wp6501}}

#### 2007
* SOEPcore: {{/soep-core/data/xp/xp7601}}
",0.3
"soep-long","plb0383","pl","pjob05","The variable is available for 10 years, ranging from 1998 to 2007. To harmonize this variable over time 1 replace or recode commands were necessary.","#### 1998
* Var with original data within SOEPlong: pcb0046
 * Recode:   REC (2=1) (1 3 4 = -2) 
* SOEPcore: {{/soep-core/data/op/op47b}}

#### 1999
* SOEPcore: {{/soep-core/data/pp/pp6302}}

#### 2000
* SOEPcore: {{/soep-core/data/qp/qp5902}}

#### 2001
* SOEPcore: {{/soep-core/data/rp/rp6102}}

#### 2002
* SOEPcore: {{/soep-core/data/sp/sp6102}}

#### 2003
* SOEPcore: {{/soep-core/data/tp/tp7902}}

#### 2004
* SOEPcore: {{/soep-core/data/up/up6202}}

#### 2005
* SOEPcore: {{/soep-core/data/vp/vp7402}}

#### 2006
* SOEPcore: {{/soep-core/data/wp/wp6502}}

#### 2007
* SOEPcore: {{/soep-core/data/xp/xp7602}}
",0.3
"soep-long","plb0384","pl","pjob06","The variable is available for 10 years, ranging from 1998 to 2007. To harmonize this variable over time 1 replace or recode commands were necessary.","#### 1998
* Var with original data within SOEPlong: pcb0046
 * Recode:   REC (3=1) (1 2 4 = -2) 
* SOEPcore: {{/soep-core/data/op/op47b}}

#### 1999
* SOEPcore: {{/soep-core/data/pp/pp6303}}

#### 2000
* SOEPcore: {{/soep-core/data/qp/qp5903}}

#### 2001
* SOEPcore: {{/soep-core/data/rp/rp6103}}

#### 2002
* SOEPcore: {{/soep-core/data/sp/sp6103}}

#### 2003
* SOEPcore: {{/soep-core/data/tp/tp7903}}

#### 2004
* SOEPcore: {{/soep-core/data/up/up6203}}

#### 2005
* SOEPcore: {{/soep-core/data/vp/vp7403}}

#### 2006
* SOEPcore: {{/soep-core/data/wp/wp6503}}

#### 2007
* SOEPcore: {{/soep-core/data/xp/xp7603}}
",0.3
"soep-long","plb0385","pl","pjob07","The variable is available for 10 years, ranging from 1998 to 2007. To harmonize this variable over time 1 replace or recode commands were necessary.","#### 1998
* Var with original data within SOEPlong: pcb0046
 * Recode:   REC (4=1) (1 2 3 = -2) 
* SOEPcore: {{/soep-core/data/op/op47b}}

#### 1999
* SOEPcore: {{/soep-core/data/pp/pp6304}}

#### 2000
* SOEPcore: {{/soep-core/data/qp/qp5904}}

#### 2001
* SOEPcore: {{/soep-core/data/rp/rp6104}}

#### 2002
* SOEPcore: {{/soep-core/data/sp/sp6104}}

#### 2003
* SOEPcore: {{/soep-core/data/tp/tp7904}}

#### 2004
* SOEPcore: {{/soep-core/data/up/up6204}}

#### 2005
* SOEPcore: {{/soep-core/data/vp/vp7404}}

#### 2006
* SOEPcore: {{/soep-core/data/wp/wp6504}}

#### 2007
* SOEPcore: {{/soep-core/data/xp/xp7604}}
",0.3
